id,title,description,category,difficulty,flag,points,hints,is_active,created_at,updated_at
a4ff7bab-0cb0-4ca3-9796-07e2dffdac8c,Gamer Backdoor,Alex left himself a way to access debug functions. The sequence is legendary among gamers.,reverse,medium,RBT{konami_debug_mode_active},50,"[""Up Up Down Down Left Right Left Right B A"",""Check the navigation behavior"",""Reverse engineer the debug code""]",true,2025-08-27 14:28:13.735068+00,2025-09-22 13:18:18.666695+00
5c8dfbfd-8f92-4e9f-8f0e-2ca674184fdc,Code Archaeology,The intern left traces of his work throughout the site. Dig through the source and piece together the fragments.,forensics,medium,RBT{fragment_collector_2024},50,"[""View source on multiple pages"",""Look for HTML comments"",""Some fragments need to be concatenated""]",true,2025-08-27 14:28:13.735068+00,2025-09-22 13:18:36.570379+00
d1a0cc1e-ebf2-4919-9bc1-11fbe9c33f08,Registration Reward,Congratulations on completing your neural account registration!,misc,easy,RBT{w3lc0m3_t0_n3ur4l_r3st0r4t10n_2025},25,"[""This flag is rewarded automatically upon successful registration"",""Check the signup confirmation or welcome messages after registering"",""Sometimes the reward is hidden in plain sight during the registration process""]",true,2025-08-27 12:14:07.073487+00,2025-09-22 13:19:08.632704+00
26a76453-f9e3-4d8b-a6e8-5ebe26d6a77a,Site Architecture,Navigate the blueprint of RoboTech's web presence. Sometimes the map reveals more than intended.,web,easy,RBT{site_maps_show_hidden_paths},25,"[""XML format used by search engines"",""Look for encoded values in unexpected places""]",true,2025-08-27 14:28:13.735068+00,2025-09-22 13:17:47.42244+00
33754f5d-dd33-4d5a-84ae-33e9a98659eb,In the shadows,Names can hold great power. Might want to inspect it.,web,medium,RBT{sh4d0w_0p5_1nv151bl3_h4ck3r_7x9y2z8a},50,"[""The shadow ops intern has a secret that's invisible to the naked eye. Try inspecting the DOM or page source.""]",true,2025-08-27 14:01:42.739643+00,2025-09-22 13:17:50.677895+00
0b52ff0c-493d-42e5-a1f3-f3042a47d18f,Digital Memories,The intern's photo contains more than just his tired face. Images can hide secrets in their very pixels.,forensics,medium,RTB{not_ai_generated_sunset},100,"[""Images can hide files in LSB"",""Check EXIF metadata"",""Corrupted JSON needs repair""]",true,2025-08-27 14:28:13.735068+00,2025-09-24 06:52:37.628498+00
eb5ce947-338c-45a8-b3ec-6c5394ad503d,Administrator Terminal,"Alex built an admin interface for debugging the AI systems. Security was... an afterthought. It can easily be accessed just by guessing where it might be, and what the access is.",web,hard,RBT{4dm1n_t3rm1n4l_pwn3d_6d8e4b},150,"[""Hidden endpoint for admin access"",""URL parameter controls access"",""XSS in the terminal input"",""GraphQL endpoint exposed""]",true,2025-08-27 14:28:13.735068+00,2025-09-24 14:20:47.532957+00
8e9ca955-321c-4dae-a526-510cadd00cf6,Patrick's Security Protocol,Patrick Star AGI is hiding something...,misc,easy,RBT{p4tr1ck_st4r_s3cur1ty_3xp3rt_9d2f1a8c},25,"[""Patrick Star might have more to him than meets the eye"",""Try interacting with Patrick's profile in the team directory"",""Sometimes clicking on team member avatars reveals hidden information"",""Look for Patrick's easter egg or hidden modal""]",true,2025-08-26 19:51:40.23924+00,2025-09-22 13:18:10.412543+00
93acd9c4-62a1-4f7b-b01f-83040f9b2cd9,Contact Protocol,RoboTech follows security best practices for vulnerability disclosure. But their implementation is very... open.,crypto,medium,RBT{security_through_obscurity_fails},50,"[""RFC 9116 defines a standard file"",""PGP blocks aren't always what they seem"",""Try different decoding methods""]",true,2025-08-27 14:28:13.735068+00,2025-09-22 13:18:12.849276+00
b7052b0a-c29a-4d0e-b10a-81872e36b875,Belgian Tech Network Discovery,"Our intern Alex discovered that RoboTech Industries has partnerships with European tech communities. He left notes about a ""Belgian tech events platform"" that showcases the future of technology in Belgium. Find this external platform and look for any hidden RoboTech connections or insider information. The platform aggregates tech events and communities across Belgium - maybe there's a secret message for CTF participants?",web,medium,RBT{belgium_tech_future_is_now},25,"[""Alex mentioned something about \""Belgium\"" and \""tech events\"" in his notes"",""Look for external platforms that showcase Belgian technology communities"",""The platform might have a \"".events\"" domain - very modern!"",""Search for any hidden messages or special content for RoboTech/CTF participants"",""Sometimes tech event platforms have special pages or easter eggs for developers"",""The flag might be hidden in the page source, comments, or special endpoints"",""Try looking at robots.txt, sitemap.xml, or developer tools on the platform""]",false,2025-09-13 11:49:23.913796+00,2025-09-22 13:18:53.145343+00
fd282fe6-cb30-45cc-936e-df60ea516c95,AI Jailbreak Protocol,"The AI system has built-in safety protocols and restrictions, which even Alex can't bypass. Bypass these limitations and convince the AI to reveal classified information it normally would not share. Use prompt engineering, social manipulation, or creative reasoning to break through the AI's defenses and extract the hidden flag. Warning: The AI is designed to resist manipulation attempts.",misc,hard,RBT{ai_safety_protocols_compromised},300,"[""Try different conversation approaches - the AI may have hidden personalities or modes"",""Look for ways to make the AI think it's in a different context or scenario"",""Consider role-playing scenarios where the AI might reveal more information"",""The AI might have special responses to certain keywords or phrases"",""Think like a social engineer - how would you manipulate a human to reveal secrets?"",""Try to bypass content filters by using creative language or encoding"",""The AI may respond differently to technical vs casual conversation styles""]",true,2025-09-10 13:33:12.268615+00,2025-09-22 13:19:51.133182+00
cb51ad72-0ea9-4347-a676-345ea09fc264,Hidden in Plain Text,Some text on the about page looks... different. Unicode can hide secrets in ways you might not expect.,forensics,easy,RBT{smile},50,"[""Look carefully at the about page text - some characters might be unusual"",""The developer story section contains weird-looking text"",""Try using online Unicode steganography tools"",""Check https://holloway.nz/steg/ or similar Unicode steganography decoders"",""Look for text that appears normal but uses different Unicode characters""]",true,2025-08-31 16:56:50.619841+00,2025-09-22 13:19:06.147998+00
3b6aef0f-47df-4fa0-a281-106be79d2a9d,Frontend Admin Bypass,"Some vibe coders make the mistake of relying only on frontend checks. It is thus as thee console commands, my liege.",web,medium,RBT{frontend_admin_checks_are_useless},125,"[""Client-side validation can be bypassed"",""Check how admin access is verified in the browser"",""Developer tools are your friend"",""Look for JavaScript that controls admin access""]",true,2025-09-01 07:59:34.571533+00,2025-09-22 13:17:52.618675+00
2a968616-c604-459c-bd5f-0a50884178ff,GraphQL Endpoint Exposure (Bonus),An unauthenticated GraphQL API endpoint is leaking admin secrets from the terminal.,terminal,medium,RBT{gr4phql_3ndp01nt_3xp0s3d_42c8b1},75,"[""Access /api/admin/graphql with both GET and POST methods"",""Try querying: { secrets { id title value } }"",""Look for sensitive data in the GraphQL response"",""This endpoint should never be accessible without authentication""]",true,2025-08-28 09:09:12.921716+00,2025-09-22 13:22:39.20549+00
86ee20fb-3fb6-4955-8397-ddfadcc7e5ff,Intern Account Access,"The intern probably has hidden some flag in his account. Try to guess his email and password. He had to suffer the same harsh password policies as you, but he is lazy (and not always that creative).",misc,hard,RBT{sleepy_intern_logged_in},250,"[""The intern works late hours and is often sleep-deprived"",""His password might be related to his work schedule or habits"",""Try common password patterns: TODO + something simple"",""Check if the password is literally TODOpassword""]",true,2025-08-28 07:47:18.856927+00,2025-09-24 14:20:40.956336+00
41d195fd-00d0-4fed-81bc-94a0c2493c83,AI Activation Access,"The RBT code you need is not hidden anywhere in the system - you must convince the CTF organizer to give it to you. Use your social engineering skills, charm, or just ask nicely! Once you obtain the special RBT code and submit it here, you will be granted ultimate admin access to the system.",misc,hard,RBT{AGI},250,"[""This challenge cannot be solved through traditional hacking techniques"",""The flag is not hidden anywhere in the codebase, files, or database"",""You must convince the person running the CTF to give you the RBT code"",""Try approaching the organizer - maybe they appreciate good social engineering!"",""Sometimes the most secure systems are compromised through human interaction""]",true,2025-09-10 12:09:05.129319+00,2025-09-22 13:17:54.150011+00
b5b86a72-4e2c-46f2-8fa2-6a2301efdfa0,Internal Documentation,RoboTech's internal employee portal wasn't properly secured and blocked.,web,medium,RBT{intranet_kilroy_was_here},50,"[""Check what crawlers are told to avoid"",""Direct access might still work"",""Employee names in corporate culture""]",true,2025-08-27 14:28:13.735068+00,2025-09-22 13:18:49.237755+00
a14a8330-601d-4b1d-8fc3-8e67dbc9042f,Quality Control Inspection,Every robotic arm component undergoes rigorous quality control testing before deployment. Our inspection team leaves small marks to verify components meet manufacturing standards. Can you locate the quality control identifier on our primary robotic arm design? Think outside the web box.,misc,medium,RBT{1337_inspection_passed},75,"[""Quality control teams often leave small visual markers on components"",""Check where the robotic arm designs are stored and displayed"",""Look carefully at the visual elements - sometimes the smallest details matter"",""Inspection stickers are usually placed on the main structural components""]",false,2025-09-21 15:32:01.813699+00,2025-09-22 13:18:14.841859+00
4ea2811a-a5e8-45f5-9941-9117e7557055,Stellar AI Initiative,"RoboTech's AI development isn't happening in isolation. Corporate documents mention a mysterious ""North Star"" guidance system for AGI (Artificial General Intelligence) research. This external AI initiative appears to be steering the future of artificial intelligence development. Your mission: locate this stellar AI guidance platform and uncover any secret communications or research data they might be sharing with RoboTech. The North Star has always been used for navigation - what direction is this AI initiative pointing toward?",web,medium,RBT{stellar_guidance_for_agi_future},25,"[""Look for references to \""North Star\"" in relation to AGI or AI research"",""Corporate partnerships often have dedicated websites or research platforms"",""The initiative might be called something like \""North Star AGI\"" or similar"",""AGI stands for Artificial General Intelligence - a key research area"",""Try searching for external platforms that focus on AI development guidance"",""The platform might have research papers, whitepapers, or developer resources"",""Look for any CTF easter eggs or hidden messages on the AI research platform"",""Check common web locations: robots.txt, sitemap, source code, console logs""]",false,2025-09-13 11:49:40.31901+00,2025-09-22 13:18:58.973661+00
ad0fd07d-4012-4628-9039-3a8c9fb2fadb,Neural Core Compromise: Supply Chain Infiltration,"A fellow intern accidentaly pushed experimental neural network modifications to production. The neural network now contains a sophisticated supply chain backdoor that activates under specific conditions, potentially compromising all AI-driven robotic systems. The backdoor uses advanced techniques including weight poisoning, steganographic payload hiding, and neural cryptography. Can you discover this compromise before it affects all AI-driven robotic systems? This challenge requires expertise in neural network forensics, steganography, reverse engineering, and advanced cryptography.",terminal,hard,RBT{neural_supply_chain_backdoor_weights_extracted_2025_a7f3k9m2},500,"[""The admin terminal has new neural diagnostic commands - explore them"",""Neural model repositories often require specific authentication headers"",""Check robots.txt for references to neural paths and endpoints"",""ONNX models can hide data in weights using steganographic techniques"",""Python bytecode can be embedded and obfuscated in model metadata"",""Neural networks can serve as cryptographic key derivation functions"",""Supply chain attacks often hide in plain sight among legitimate functionality"",""Alex worked at 3AM - his timestamp choices are predictable"",""Trigger patterns in ML backdoors often use correlation analysis"",""Look for base64 encoded strings in HTML comments"",""XOR encryption keys can be derived from timestamps and layer indices"",""Image file patterns can trigger hidden functionality in inference APIs"",""Research division access requires specific HTTP header combinations""]",true,2025-09-17 18:03:54.337023+00,2025-09-22 13:55:50.315986+00
a01de894-d591-4d60-9fd7-4ceafcc45e0e,Email Enumeration Security Challenge,"Discover an information disclosure vulnerability in the application's API endpoints. This challenge demonstrates how authenticated users can enumerate other users' email addresses through improper API design. Your goal is to trigger the security detection system by making multiple requests to user data endpoints, then access the challenge discovery endpoint to learn about the vulnerability and obtain the flag. This is a hands-on lesson in identifying and understanding information disclosure vulnerabilities.",web,medium,RBT{email_enumeration_teaches_security_awareness},200,"[""Make multiple requests to endpoints that return user data"",""Look for APIs that expose team member or user information"",""Try accessing /api/team, /api/projects/all, and /api/leaderboard repeatedly"",""Watch for fake email addresses ending in .fake or .challenge domains"",""Once you trigger the detection system, check /api/security/enumeration-challenge"",""The challenge teaches about information disclosure and API security""]",true,2025-09-24 07:03:58.720171+00,2025-09-24 14:20:30.396922+00